Project Name,Subtype,Current Status,Capacity MW,Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,,
Khanom 4,Gas,Operational,970,2016,Thailand; Japan,EGCO Thailand, Mitsubishi Corp Japan, TEPCO Japan,Japan,JBIC,, ,Thailand,,
Khao Kor Wind Farm Project,Wind,Unknown,59.8,,Thailand,Khao Kor Wind Power Co Ltd. Thailand; EDF Trading Ltd. France,,,, ,Thailand,Phetchabun,Khao Kho,,
Khao Mang - Upper and lower Thuy dien Khao Mang Thuong & Ha,Hydro,Operational,54.5,2017,Vietnam,EVN Vietnam,,,, ,Vietnam,Yen Bai,Mu Cang Chai,,
Khao Yai Solar Power Plant,Solar,Operational,1,,Thailand,Thai Solar Energy Public Company Limited TSE Thailand,,,, ,Thailand,Nakhon Ratchasima,Pak Chong,,
Khao Yao Solar Power Plant,Solar,Operational,10,,Thailand,Bangkok Solar Power Company, Ltd.,,,, ,Thailand,Phetchaburi,,
Khaunglanphu/Kawnlanghpu,Hydro,Postponed,3000,2030,China,State Power Investment Corporation China,,,, ,Myanmar,Kachin,Putao,,
Khe Bo,Hydro,Operational,50,,Vietnam,Viet Nam Electricity Development JSC Vietnam,,,, ,Vietnam,Nghe An,Tuong Duong,,
Khe Ron,Hydro,Operational,6,2009,Vietnam,Truong Thinh Group JSC.,,,, ,Vietnam,Quang Binh,Tuyen Hoa,,
Khirittharn,Hydro,Cancelled,660,,Thailand,EGAT,,,,,Thailand,Chanthaburi,Makham,,
Khlong Chong Klam Dam,Hydro,Operational,0.02,,Thailand,EGAT Thailand,,,, ,Thailand,Lampang,Muang Lampang,,
Khlong Chong Klum Solar Power Plant,Solar,Operational,8.2,1988,Thailand,EGAT Thailand,,,, ,Thailand,Sa Kaeo,Muang Sa Kaeo,,
Khlong Yai,Nuclear,Planned,,,Thailand,EGAT Thailand,,,, ,Thailand,Nakhon Si Thammarat,Lan Saka,,
KhlongRuea Off-Grid Hydropower Project,Hydro,Unknown,0.1,,,,,,, ,Thailand,Chumphon,Phato,,
Khmer Electric Power Diesel Power Plant,Oil,Operational,30,2005,Finland; Singapore; Cambodia,Khmer Electrical Power Co Ltd Cambodia, Wartsila Diesel Group Finland, Comin Asia Pte Ltd Singapore, Comin Khmere Co Ltd Cambodia,,,, ,,
Khok Kham project,Solar,Operational,5,2015,Thailand,Enmax Holding Thailand Co Ltd./GCL-SI,,,China,GCL-SI China,Thailand,Samut Sakhon,Muang Samut Sakhon,,
Khok Thai Solar Power Plant,Solar,Operational,12.7,,Thailand,Ch. Karnchang Public Company, Limited,,,, ,Thailand,Nakhon Ratchasima,,
Khon Kaen 1 Solar Power Plant,Solar,Operational,6.1,2012,Thailand,Solar Power Khon Kaen 1 Company Limited Solar Power Co Ltd.; Thai Fa Power Co Ltd.,,,, ,Thailand,Khon Kaen,Muang Khon Kaen,,
Khon Kaen 10 Solar Power Plant,Solar,Operational,7.4,2014,Thailand,Solar Power Khon Kaen 10 Company Limited Solar Power Co Ltd; PEAC ENCOM International Co Ltd,,,, ,Thailand,Khon Kaen,Chum Phae,,
Khon Kaen 2 Solar Power Plant,Solar,Operational,7.4,2013,Thailand,Solar Power Khon Kaen 2 Company Limited Solar Power Co Ltd,,,, ,Thailand,Khon Kaen,Khao Suan Kwang,,
Khon Kaen 3 Solar Power Plant,Solar,Operational,7.4,2013,Thailand,Solar Power Khon Kaen 3 Company Limited Solar Power Co Ltd,,,, ,Thailand,Khon Kaen,Nam Phong,,
Khon Kaen 4 Solar Power Plant,Solar,Operational,7.4,2013,Thailand,Solar Power Khon Kaen 4 Company Limited Solar Power Co Ltd,,,, ,Thailand,Khon Kaen,Chum Phae,,
Khon Kaen 5 Solar Power Plant,Solar,Operational,7.4,2013,Thailand,Solar Power Khon Kaen 5 Company Limited Solar Power Co Ltd,,,, ,Thailand,Khon Kaen,Muang Khon Kaen,,
Khon Kaen 6 Solar Power Plant,Solar,Operational,7.4,2014,Thailand,Solar Power Khon Kaen 6 Company Limited Solar Power Co Ltd,,,, ,Thailand,Khon Kaen,Nong Rua,,
Khon Kaen 7 Solar Power Plant,Solar,Operational,7.4,2013,Thailand,Solar Power Khon Kaen 7 Company Limited Solar Power Co Ltd,,,, ,Thailand,Khon Kaen,Nong Rua,,
Khon Kaen 8 Solar Power Plant,Solar,Operational,7.4,2013,Thailand,Solar Power Khon Kaen 8 Company Limited Solar Power Co Ltd,,,, ,Thailand,Khon Kaen,Ban Phai,,
Khon Kaen 9 Solar Power Plant,Solar,Operational,7.4,2014,Thailand,Solar Power Khon Kaen 9 Company Limited Solar Power Co Ltd.,,,, ,Thailand,Khon Kaen,Chum Phae,,
Khon Kaen Sugar Power Plant Co Ltd.,Biomass,Operational,40,,Thailand,Khon Kaen Sugar Industry Public Company Limited,,,, ,Thailand,Loei,Wang Saphung,,
Khon Kaen Sugar Power Plant Co Ltd.,Biomass,Operational,65,,Thailand,Khon Kaen Sugar Industry Public Company Limited,,,, ,Thailand,Khon Kaen,Nam Phong,,
Khon Kaen Sugar Power Plant Co Ltd.,Biomass,Unknown,30,2006,Thailand; United Kingdom; Japan,Khon Kaen Sugar Industry Public Company Limited; Agrinergy Ltd.; Yoshimine Co Ltd; Skinko Industrial Ltd.,,,, ,Thailand,Khon Kaen,Nam Phong,,
Khonburi Sugar Public Company Limited,Biomass,Operational,22,,Thailand,Khonburi Sugar Public Company Limited,,,, ,Thailand,Nakhon Ratchasima,Khon Buri,,
Khun Dan Prakarn Chon Dam,Hydro,Operational,11,,Thailand,EGAT Thailand,,,, ,Thailand,Nakhon Nayok,Pak Phli,,
KI Sugar Group: Korach Industry Co Ltd.,Biomass,Unknown,42,1990,Thailand,Korach Industry Co Ltdl. KI Sugar Group,,,, ,Thailand,Nakhon Ratchasima,Phimai,,
KI Sugar Group: Surin Electric Co Ltd.,Biomass,Unknown,30,2005,Thailand,Surin Electric Co Ltd KI Sugar Group,,,, ,Thailand,Surin,Phrasat,,
KI Sugar: KI Biogas Co Ltd. Wastewater Treatment for Energy Generation,Waste,Unknown,4,2008,Thailand,KI Biogas Co Ltd. KI Sugar Group,,,, ,Thailand,Nakhon Ratchasima,Phimai,,
KI Sugar: KI Biogas Co Ltd. Wastewater Treatment for Energy Generation,Waste,Unknown,4,2008,Thailand,KI Biogas Co Ltd. KI Sugar Group,,,, ,Thailand,Nakhon Ratchasima,Phimai,,
Kien Giang 1, 2 Nha may dien Kien Giang I, II - Chuoi du an khi lo B,Gas,Planned,750,2022,Vietnam,Petrovietnam Tap doan Dau khi Quoc Gia Viet Nam,,,, ,Vietnam,,
Kien Luong 1 Thermal Power Plant Nha may dien Kien Luong 1,Coal,Cancelled,1200,2030,Vietnam,Tan Tao Energy Vietnam Cong Ty Co Phan Phat trien Nang luong Tan Tao,United Kingdom,Standard Chartered Bank UK,China,Huadian China,Vietnam,Kien Giang,Kien Luong,,
Kien Luong 2 Thermal Power Plant Nha may dien Kien Luong 2,Coal,Cancelled,1200,2030,Vietnam,Tan Tao Energy Vietnam Cong Ty Co Phan Phat trien Nang luong Tan Tao,,,, ,Vietnam,Kien Giang,Kien Luong,,
Kien Luong 3 Thermal Power Plant Nha may dien Kien Luong 3,Coal,Cancelled,2000,2030,Vietnam,Tan Tao Energy Vietnam Cong Ty Co Phan Phat trien Nang luong Tan Tao,,,, ,Vietnam,Kien Giang,Kien Luong,,
Kiew Kor Mah Hydropower Plant,Hydro,Operational,5.5,2018,Thailand,EGAT Thailand,,,Thailand,Phararam 2 Civil Engineering Thailand,Thailand,Lampang,Muang Lampang,,
Kindaw Kinda,Hydro,Operational,56,1985,,,UNDP,UNDP,, ,Myanmar,Mandalay,Kyaukse,,
Kirirom I,Hydro,Operational,12,2002,China,China Electric Power Technology Import & Export Company CEPTIEC,China,China EXIM Bank China,China,China Electric Power Technology Import and Export Company CEPTIEC,Cambodia,Koh Kong,Kampong Seila,,
Kirirom II,Hydro,Planned,1,,,,,,, ,Cambodia,Koh Kong,Kampong Seila,,
Kirirom III Hydropower plant,Hydro,Operational,18,2013,China,State Grid Corporation of China China,China,China EXIM Bank China,China,Hydrochina Zhongnan Engineering China,Cambodia,Koh Kong,Srae Ambel,,
Kitroongruang Biogas Energy Project,Waste,Unknown,1.451,,Thailand,Thai Biogas Energy Co Ltd.,,,United Kingdom,EcoSecurities International Ltd.,Thailand,Rayong,Muang Rayong,,
Klong Tron Hydropower Plant,Hydro,Under Construction,2.5,2018,Thailand,EGAT Thailand,,,, ,Thailand,Uttaradit,Nam Pat,,
Koh Kong Thermal Power Plant,Coal,Planned,2000,,Thailand; Cambodia,L.YP. Group Cambodia, Thai Samart Thailand,Thailand,Thai Banks Thailand,, ,Cambodia,Koh Kong,,
Koh Reah Thermal Power Plant,Mixed Fossil Fuel,Planned,400,,Cambodia,Electricite du Cambodge Cambodia,Cambodia,Government of Cambodia; Electricite du Cambodge,China,China Gezhouba Group Cooperation-UN Power Co China, China National Heavy Machinery Corp. China,Cambodia,Kandal,,
Kon Dao,Hydro,Operational,1,1984,,,,,, ,Vietnam,Kon Tum,Đak To,,
Korat 1 Solar Power Plant,Solar,Operational,6.1,2010,Thailand; IFC,Solar Power Korat 1 Company Limited Solar Power Co Ltd; International Finance Corporation; Thai Fa Power Co Ltd,,,, ,Thailand,Nakhon Ratchasima,Non Sung,,
Korat 2 Solar Power Plant,Solar,Operational,6.1,2011,Thailand,Solar Power Korat 2 Company Limited Solar Power Co Ltd; Thai Fa Power Co Ltd_,,,, ,Thailand,Nakhon Ratchasima,Non Sung,,
Korat 3 Solar Power Plant,Solar,Operational,6.1,2012,Thailand,Solar Power Korat 3 Company Limited Solar Power Co Ltd.; Ratchaburi Electricity Generating Holding Public Co Ltd.,,,, ,Thailand,Nakhon Ratchasima,K. Sida,,
Korat 4 Solar Power Plant,Solar,Operational,6.1,2012,Thailand,Solar Power Korat 4 Company Limited Solar Power Co Ltd.; Ratchaburi Electricity Generating Holding Public Co Ltd.,,,, ,Thailand,Nakhon Ratchasima,Chok Chai,,
Korat 5 Solar Power Plant,Solar,Operational,7.4,2013,Thailand,Solar Power Korat 5 Company Limited Solar Power Co Ltd.,,,, ,Thailand,Nakhon Ratchasima,Bua Yai,,
Korat 6 Solar Power Plant,Solar,Operational,7.4,2013,Thailand,Solar Power Korat 6 Company Limited Solar Power Co Ltd.,,,, ,Thailand,Nakhon Ratchasima,Chakkarat,,
Korat 7 Solar Power Plant,Solar,Operational,6.1,2012,Thailand,Solar Power Korat 7 Company Limited Solar Power Co Ltd.; Ratchaburi Electricity Generating Holding Public Co Ltd.,,,, ,Thailand,Nakhon Ratchasima,Dan Khun Thot,,
Korat 8 Solar Power Plant,Solar,Operational,7.4,2013,Thailand,Solar Power Korat 8 Company Limited Solar Power Co Ltd.,,,, ,Thailand,Nakhon Ratchasima,Bua Yai,,
Korat 9 Solar Power Plant,Solar,Operational,7.4,2013,Thailand,Solar Power Korat 9 Company Limited Solar Power Co Ltd.,,,, ,Thailand,Nakhon Ratchasima,Sung Noen,,
Korat S.W. Wastewater Treatment Project,Waste,Unknown,,,Thailand,Korat S.W. Group 2007 Co Ltd.,,,United Kingdom; Germany,Agrinergy Pte Ltd. UK; RWE Power Aktiengesellschaft Germany,Thailand,Chanthaburi,Soydow,,
Korat Waste to Energy Project,Waste,Unknown,5,,Thailand,Korat Waste to Energy Company Ltd,,,United Kingdom,EcoSecurities Group plc.,Thailand,Nakhon Ratchasima,Muang Nakhon Ratchasima,,
Krabi,Gas,Operational,340,2004,Thailand,EGCO Electricity Generating Public Company, Ltd.,,,, ,Thailand,Krabi,,
Krabi 1 Power Plant Project,Biomass,Unknown,9.5,2006,Thailand,Tropical Asia International Co, Ltd.,,,Thailand,ATT Consultants Co Ltd.,Thailand,Krabi,,
Krabi Natural Gas/Deisel,Mixed Fossil Fuel,Operational,315,2004,Thailand,EGAT Thailand,,,, ,Thailand,Krabi,Nua Khlong,,
Krabi Power Plant,Coal,Planned,800,2021,Thailand,EGAT Thailand,,,Thailand; Italy; China,Italian Thai Development Plc Thailand; Power Construction Corporation of China China,Thailand,Krabi,Muang Krabi,,
Krakor 60 MW Solar SchneiTec,Solar,Operational,60,2020,Cambodia; China,SchneiTec Group,,,, ,Cambodia,Pursat,Krakor,,
Krong H'Nang,Hydro,Operational,64,2011,Vietnam,EVN Vietnam,,,, ,Vietnam,Phu Yen,Song Hinh,,
Krong Kmar,Hydro,Operational,12,2008,Vietnam,Song Da Investment and Development JSC,,,, ,Vietnam,Đak Lak,Krong Bong,,
Krong No 2 Thuy dien Krong No 2,Hydro,Operational,30,2017,Vietnam,Trungnam Krong No Vietnam,Vietnam,Saigon Hanoi Commercial Joint Stock Bank Vietnam,, ,Vietnam,Lam Đong,Lac Duong,,
Krong No 3,Hydro,Operational,18,2016,Vietnam,Trung Nam Power,,,, ,Vietnam,Lam Đong,Đam Rong,,
Krong Pa 2 Nha may dien mat troi Krong Pa 2,Solar,Operational,49,2018,Vietnam,Gia Lai Electricity Joint Stock Company - a TTC Group subsidiary Vietnam,Singapore; World Bank Group,International Finance Corporation - World Bank 15%; Armstrong Asset Management - Singapore 20.05%,Japan,JGC Vietnam - a JGC Corp subsidiary Japan,Vietnam,Gia Lai,Krong Pa,,
Kui Buri Solar Power Plant,Solar,Operational,10,,Thailand,Bangkok Solar Power Company, Ltd.,,,, ,Thailand,Prachuap Khiri Khan,,
Kumphawapi Sugar Co, Ltd,Biomass,Unknown,6,,Thailand,Kumphawapi Sugar Co, Ltd,,,, ,Thailand,,
Kun Chaung,Hydro,Operational,60,2012,Myanmar,MEPE Myanmar,,,China,CHMC China,Myanmar,Bago,Taungoo,,
Kun Long Upper Thanlwin,Hydro,Postponed,1400,,China; Myanmar,Hanergy Yunnan China, Myanmar Pyi San Htar Group Myanmar,,,, ,Myanmar,Shan,,
Kwai Noi Bumrung Dan Dam,Hydro,Operational,30,,Thailand,EGAT Thailand,,,, ,Thailand,Phitsanulok,Wat Bot,,
Kwanchangone / Kungyan Gone Stage I II III,Coal,Planned,3270,,Myanmar,Kaung Myat Thaw Myae Co Ltd. Myanmar,,,, ,Myanmar,Yangon,Yangon-S,,
Kyaukphu PowerChina,Gas,Planned,135,2020,China; Myanmar,Power Construction Corp China, Supreme Group Myanmar,,,China,Power Construction Corp China,Myanmar,Rakhine,,
Kyaukphyu,Coal,Planned,1320,,Myanmar; South Korea,MCM Energy Myanmar, Daewoo Company South Korea, Ministry of Electric Power Myanmar,,,, ,Myanmar,,
Kyaukpyu V-Power,Gas,Operational,90,2015,Hong Kong, China,V-Power Co Ltd Hong Kong,,,, ,Myanmar,Rakhine,,
Kyaukse APR,Gas,Operational,102,2014,Myanmar,MEPE Myanmar,,,USA,Alstom Power Rental Energy Holding Co USA,Myanmar,Mandalay,Kyaukse,,
Kyaukse NIHC,Gas,Operational,145,2019,Myanmar,PowerGen Kyaukse Co, Ltd Myanmar, National Infrastructure Holding Co Myanmar, Myanmar Chemical and Machinery Myanmar,,,China,SEPCOIII Electric Power Construction,,
Kyauktan,Coal,Cancelled,1300,,Myanmar; India; Singapore,Kyauktan Project Diamond Palace Services Orange Myanmar, Powergen India, Global Adviser Singapore, Ministry of Electric Power Myanmar,,,, ,,
Kyi Ohn Kyi Wa Kyee Ohn Kyee Wa,Hydro,Operational,74,2012,Myanmar,MEPE Myanmar,,,China,Guangdong New Technology Import Export Zhuhai Co China,Myanmar,Magway,Minbu,,
Kyunchaung,Gas,Operational,54.3,1974,Myanmar,MOEP Myanmar,,,, ,Myanmar,Magway,Pakokku,,
La Hieng 2,Hydro,Operational,18,2015,Vietnam,VRG Phu Yen JSC.,,,, ,Vietnam,Phu Yen,Đong Xuan,,
Lac Hoa Soc Trang wind farm,Wind,Planned,30,2021,Vietnam,Renewable Energy JSC Vinh Chau-TDC,,,China; USA,PowerChina Huadong Engineering Corporation; GE Renewable Energy,Vietnam,Soc Trang,Vinh Chau,,
Laebao extension phase,Hydro,Planned,7.7,,Laos,EDL Laos,,,, ,Laos,Champasak,Paksong,,
Laem Chabang Wind Farm,Wind,Operational,200,2012,Thailand,EGAT Thailand,,,, ,Thailand,Chon Buri,Si Racha,,
Laem Khao Power Plant,Biomass,Unknown,10.4,1992,Thailand,Advance Power Conversion Co, Ltd.,,,, ,Thailand,Songkhla,,
Laem Khao Power Plant,Biomass,Unknown,37.4,1994,Thailand,Advance Power Conversion Co, Ltd.,,,, ,Thailand,Chachoengsao,,
Lai Chau Thuy dien Lai Chau AKA Thuy dien Nam Nhun,Hydro,Operational,1200,2015,Vietnam,EVN,Vietnam,EVN,Vietnam,Hydroproject and Power Construction No 1 JSC, song Da Corp, Licogi, Lilama,,
Laiza Laza,Hydro,Postponed,2800,2025,China,State Power Investment Corporation China,,,<Null>,,Myanmar,Kachin,Myitkyina,,
Lam Soon Wastewater Treatment for Energy Generation,Waste,Unknown,0.952,,Thailand,Lam Soon Thailand PCL,,,, ,Thailand,Trang,Sikao,,
Lampang Solar Farm,Solar,Operational,101.25,2016,Thailand,EA Solar Lampang Co, Ltd.,,,Finland,Pöyry,Thailand,Lampang,,
Lamtakong Jolabha Vadhana Power Plant Units 1-2,Hydro,Operational,500,2004,Thailand,EGAT Thailand,,,Italy,Vianini Lavori, Dragados, Nawarat Patanakarn,Thailand,,
Lamtakong Jolabha Vadhana Power Plant Units 3-4,Hydro,Operational,500,2019,Thailand,EGAT Thailand,,,Italy,Vianini Lavori, Dragados, Nawarat Patanakarn,Thailand,,
Lamtakong Wind Turbines Phase 1,Wind,Operational,2.5,2009,Thailand,EGAT Thailand,,,, ,Thailand,Nakhon Ratchasima,Sikhiu,,
Lamtakong Wind Turbines Phase 2,Wind,Operational,24,2018,Thailand,EGAT Thailand,,,China,Power Construction Corp China,Thailand,Nakhon Ratchasima,Sikhiu,,
Lan Krabue,Gas,Operational,150,1982,Thailand,EGAT Thailand,,,, ,Thailand,Kamphaeng Phet,Lan Krabu,,
Lao Chai,Hydro,Operational,2.4,2013,Vietnam,Hong Ngoc Co Ltd,,,, ,Vietnam,Lao Cai,Sa Pa,,
Lap Vo Rice Husk Power Plant Nha may dien dot trau Lap Vo,Biomass,Operational,10,,Vietnam,Duy Phat Electricity Joint Stock,,,,,,,,,
Company Vietnam, Investment and Trade Consultancy,,,,,,,,,,,,,,
Company Limited INTRACO - Vietnam,,,,,,,,,,,,,,,
,Germany,RWE Power Aktiengesellschaft,, ,Vietnam,Đong Thap,Lap Vo,,,,,,,,
Laungdin Lawngdin,Hydro,Planned,600,2026,China; Myanmar,Yunnan Energy Investment Group China, International Group of Entrepreneurs Myanmar,,,China; Myanmar,YEIG China/IGOEC Myanmar,Myanmar,Kachin,,
Launglon,Coal,Cancelled,500,,Myanmar,Cwave Global Inc, 24 hour Mining & Industry Myanmar,,,, ,Myanmar,Tanintharyi,,
Laymyo 1 Lemro 1,Hydro,Planned,600,,Myanmar,Ministry of Electricity & Energy,,,France,Tractabel ,Myanmar,Chin,Mindat,,
Laymyo 2 Lemro 2,Hydro,Planned,90,,Myanmar,Ministry of Electricity & Energy,,,France,Tractabel ,Myanmar,Rakhine,Sittwe,,
Lee&Man Nha may nhiet dien Lee & Man,Biomass,Operational,125,2018,Hong Kong, China,Lee & Man Paper Company China,Hong Kong, China,Lee & Man Paper Company Hong Kong,, ,Vietnam,,
Lemyathnar,Wind,Planned,90,,China,China Three Gorges China,,,, ,Myanmar,Ayeyarwady,Hinthada,,
LIC Chu Ngoc Đien mat troi Chu Ngoc LICOGI 16 18 ha,Solar,Operational,15,2019,Vietnam,Cty CP EVN LICOGI 16 Vietnam,,,, ,Vietnam,Gia Lai,Krong Pa,,
Lidi,Hydro,Operational,420,2019,China,‎Huaneng Lancang Hydropower Co Ltd,China,,China,China Huaneng Group; PowerChina,China,Yunnan,Deqen Tibetan,,
Lien Lap Đien gio Lien Lap,Wind,Under Construction,48,2021,Vietnam,Cong ty co phan Xay lap dien 1, Cong ty CP Đau tu xay dung va thuong mai Phu Đien,,,, ,Vietnam,Quang Tri,,
LIG Quang Tri Đien mat troi LIG Quang Tri,Solar,Operational,49.5,2019,Vietnam,Cong ty co phan LICOGI 13,,,, ,Vietnam,Quang Tri,Gio Linh,,
Lim Power Plant,Hydro,Planned,600,,Thailand,Impacted Energy Asia Limited Thailand,,,, ,Laos,Attapu,Xaysetha,,
Linchang,Hydro,Planned,72,,China,‎Huaneng Lancang Hydropower Co Ltd,China,,China,China Huaneng Group; PowerChina,China,Xizang,Chamdo,,
Loc Ninh 1 Solar Đien mat troi Loc Ninh 1,Solar,Under Construction,220,2019,Vietnam,Cong ty Co phan Tạp doàn Hung Hải,,,Vietnam,Vietnam PRP Corp - Design Consultants Vietnam,Vietnam,Binh Phuoc,Binh Long,,
Loc Ninh 2-5 Đien mat troi Loc Ninh 2-5,Solar,Planned,800,,Vietnam,Cong ty Co phan Tạp doàn Hung Hải,,,, ,Vietnam,Binh Phuoc,Binh Long,,
Loei 1 Solar Power Plant,Solar,Operational,6.1,2011,Thailand,Solar Power Loei 1 Company Limited Solar Power Co Ltd; Thai Fa Power Co Ltd.,,,, ,Thailand,Loei,Wang Saphung,,
Loei 2 Solar Power Plant,Solar,Operational,7.4,2014,Thailand,Solar Power Loei 2 Company Limited Solar Power Co Ltd; PEA ENCOM International Co Ltd,,,, ,Thailand,Loei,Wang Saphung,,
Loi Hai nha may Đien gio Loi Hai 2,Wind,Under Construction,30,2018,Vietnam,Thuan Binh Wind Power JSC Cong ty Co phan Phong dien Thuan Binh, an EVN’s affiliate Vietnam,,,, ,Vietnam,Ninh Thuan,,
Long An 1 Nhiet dien Long An Giai doan I Trung tam Đien luc Long An,Gas,Planned,1200,2024,Vietnam,VinaCapital Group Ltd.,,,, ,Vietnam,Long An,Can Giuoc,,
Long An 2 Nhiet dien Long An Giai doan II Trung tam Đien luc Long An,Gas,Planned,1600,2024,Vietnam,VinaCapital Group Ltd.,,,, ,Vietnam,Long An,Can Đuoc,,
Long Phu 1 Nhiet dien Long Phu 1,Coal,Under Construction,1200,2024,Vietnam,Petrovietnam Tap doan Dau khi Viet Nam,Taipei, Taiwan; Japan; USA; United Kingdom,HSBC, Cathay United Bank, JP MorganChase, Mitsubishi UFJ,Vietnam; Russia; USA,,
Long Phu 2 Nhiet dien Long Phu 2,Coal,Planned,1320,2030,India,TATA Tap doan Tata,,,, ,Vietnam,Tra Vinh,Tra Cu,,
Long Phu 3 Nhiet dien Long Phu 1,Coal,Planned,1200,,Vietnam,Petrovietnam Tap doan Dau khi Viet Nam -- looking for other investors,,,, ,Vietnam,Tra Vinh,Tra Cu,,
Long Son Đien mat troi Long Son 200 ha,Solar,Planned,170,2019,Vietnam,Cong ty CP Nang luong Long Son SPV,,,, ,Vietnam,Khanh Hoa,Ninh Hoa,,
Long Son Complex,Gas,Planned,3600,2025,Vietnam,EVNGENCO3,,,,,Vietnam,Ba Ria - Vung Tau,Vung Tau,,
Long Tao Thuy dien Long Tao,Hydro,Operational,42,2020,Vietnam,Long Tao Dien Bien JSC,,,Vietnam,SONG DA 5 JOINT STOCK COMPANY,Vietnam,Đien Bien,Tuan Giao,,
Long Thanh 1 du an dien mat troi Long Thanh 1 Phase 1,Solar,Operational,10,2019,Vietnam,Long Thanh Cong ty Co phan Đau tu va Phat trien ha tang Long Thanh Vietnam,,,, ,Vietnam,Đak Lak,Ea Sup,,
Long Thanh 1 du an dien mat troi Long Thanh 1 Phase 2&3,Solar,Planned,120,2020,Vietnam,Long Thanh Cong ty Co phan Đau tu va Phat trien ha tang Long Thanh Vietnam,,,, ,Vietnam,Đak Lak,Ea Sup,,
Longma,Hydro,Operational,240,2007,China,Yunnan Datang International Lixianjiang Hydropower Development Company Ltd.; 大唐国际发电股份有限公司、北京国电安融能源投资有限公司和思茅市国有资产经营有限责任公司，股权比例分别为70 PCT、25 PCT和5 PCT,China,,China,China Datang Corporation,China,Yunnan,Puer,,
Lopburi - Absolute Energy Solar Power Plant,Solar,Operational,8,,Thailand,EA Solar Lopburi Company Limited Thailand,,,, ,Thailand,Lop Buri,Phatthana Nikhom,,
Lopburi - BSP 1 Solar Power Plant,Solar,Operational,2,,Thailand,Bangkok Solar Power Company, Ltd.,,,, ,Thailand,Lop Buri,,
Lopburi - BSP 4 Solar Power Plant,Solar,Operational,2,,Thailand,Bangkok Solar Power Company, Ltd.,,,, ,Thailand,Lop Buri,,
Lopburi - BSP 5 Solar Power Plant,Solar,Operational,2,,Thailand,Bangkok Solar Power Company, Ltd.,,,, ,Thailand,Lop Buri,,
Lopburi - BSP 6 Solar Power Plant,Solar,Operational,4,,Thailand,Bangkok Solar Power Company, Ltd.,,,, ,Thailand,Lop Buri,,
Lopburi - SAAM 1 Solar Power Plant,Solar,Operational,2,,Thailand,SAAM Solar Power One Company Limited Thailand,,,, ,Thailand,Lop Buri,Phatthana Nikhom,,
Lopburi Solar Farm,Solar,Operational,84,2013,Thailand; China; Japan,Natural Energy Development Co JV of China Light and Power’s CLP Thailand, Mitsubishi Corporation’s Diamond Generating Asia, and Thailand’s Electricity Generating Public Company,ADB,ADB,, ,Thailand,,
Lopburi Solar Rooftop Plant TSER-RT01,Solar,Operational,1,2014,Thailand,Thai Solar Energy Public Company Limited TSE,,,, ,Thailand,Lop Buri,Muang Lop Buri,,
Lower Nam Ngum,Hydro,Unknown,60,,,,,,, ,Laos,Vientiane prefecture,Mayparkngum,,
Lower Sekong,Hydro,Planned,190,,Cambodia,Royal Group,,,, ,Cambodia,Stung Treng,Siem Pang,,
Lower Sesan 1/5,Hydro,Planned,96,,Vietnam,EVN,,,, ,Cambodia,Stung Treng,Sesan,,
Lower Sesan 2,Hydro,Operational,400,2018,China; Cambodia,Hydrolancang International Energy Co , Royal Group, EVN,China,China EXIM Bank,China,Hydrolancang International Energy Co,Cambodia,,
Lower Sesan III,Hydro,Planned,375,,China,Power Construction Corp,China,China EXIM Bank China,China,Power Construction Corp China,Cambodia,Ratanak Kiri,Veun Sai,,
Lower Srepok II,Hydro,Planned,222,,Vietnam,EVN Vietnam,,,, ,Cambodia,Stung Treng,Sesan,,
Lower Srepok III,Hydro,Planned,330,,China,Huadian China,,,China,Huadian,Cambodia,Ratanak Kiri,Lumphat,,
Lower Srepok IV,Hydro,Planned,220,,China,Huadian China,,,China,Huadian,Cambodia,Ratanak Kiri,Ou Ya Dav,,
